Timestamp,Generation,Population Size,Births,Deaths,Rule Set
2025-05-06T09:07:06.130Z,1,35,2,2,GoL
2025-05-06T09:07:06.224Z,2,35,2,2,GoL
2025-05-06T09:07:06.317Z,3,35,2,2,GoL
2025-05-06T09:07:06.427Z,4,35,2,2,GoL
2025-05-06T09:07:06.517Z,5,35,2,2,GoL
2025-05-06T09:07:06.630Z,6,35,2,2,GoL
2025-05-06T09:07:06.722Z,7,35,2,2,GoL
2025-05-06T09:07:06.817Z,8,35,2,2,GoL
2025-05-06T09:07:06.920Z,9,35,2,2,GoL
2025-05-06T09:07:07.033Z,10,35,2,2,GoL
2025-05-06T09:07:07.132Z,11,35,2,2,GoL
2025-05-06T09:07:07.223Z,12,35,2,2,GoL
2025-05-06T09:07:07.318Z,13,35,2,2,GoL
2025-05-06T09:07:07.428Z,14,35,2,2,GoL
2025-05-06T09:07:07.521Z,15,35,2,2,GoL
2025-05-06T09:07:07.630Z,16,35,2,2,GoL
2025-05-06T09:07:07.725Z,17,35,2,2,GoL
2025-05-06T09:07:07.831Z,18,35,2,2,GoL
2025-05-06T09:07:07.926Z,19,35,2,2,GoL
2025-05-06T09:07:08.019Z,20,35,2,2,GoL
2025-05-06T09:07:08.127Z,21,35,2,2,GoL
2025-05-06T09:07:08.221Z,22,35,2,2,GoL
2025-05-06T09:07:08.328Z,23,35,2,2,GoL
2025-05-06T09:07:08.423Z,24,35,2,2,GoL
2025-05-06T09:07:08.528Z,25,35,2,2,GoL
2025-05-06T09:07:08.622Z,26,35,2,2,GoL
2025-05-06T09:07:08.722Z,27,35,2,2,GoL
2025-05-06T09:07:08.824Z,28,35,2,2,GoL
2025-05-06T09:07:08.917Z,29,35,2,2,GoL
2025-05-06T09:07:09.030Z,30,35,2,2,GoL
2025-05-06T09:07:09.120Z,31,35,2,2,GoL
2025-05-06T09:07:09.217Z,32,35,2,2,GoL
